gender,study_hours_per_day,social_media_hours_per_day,attendance_percentage,sleep_hours_per_day,parent_education_level,extra_curricular_activities,part_time_job,score
Other,10.3,2.1,18.5,7.5,Bachelor,Clubs,No,52.6
Female,0.1,3.3,18.2,7.7,None,Sports,No,10.0
Male,7.1,7.1,51.3,5.7,Master,Sports,No,32.8
Female,7.2,6.6,84.5,9.4,Master,Arts,No,55.3
Female,4.8,5.0,8.0,4.1,Bachelor,Sports,No,14.1
Female,2.8,6.9,70.7,6.1,High School,Multiple,No,18.2
Female,2.8,6.3,65.4,8.3,High School,Sports,No,27.1
Female,10.6,3.4,87.3,4.5,Bachelor,Arts,No,69.4
Female,5.3,1.6,24.4,5.1,Bachelor,Sports,No,26.0
Female,4.0,4.1,45.0,7.5,High School,Multiple,No,35.5
Male,5.4,5.9,92.6,7.4,Bachelor,Sports,No,55.3
Other,8.0,3.5,66.0,8.4,High School,Arts,No,54.4
Female,1.7,5.3,38.9,8.9,Master,None,No,12.5
Female,5.4,0.8,13.1,4.8,Bachelor,Clubs,No,28.6
Female,7.1,6.0,26.2,4.1,High School,Sports,No,29.2
Female,11.4,6.5,58.1,8.1,Bachelor,Sports,No,55.1
Female,3.0,5.7,71.8,5.8,High School,Multiple,No,27.0
Female,4.3,7.7,12.4,7.8,High School,Multiple,Yes,11.4
Other,4.6,6.6,60.0,4.9,Master,Sports,No,29.8
Other,7.3,7.2,55.0,6.8,None,Clubs,No,36.1
Female,4.3,7.5,51.4,7.0,High School,None,No,22.1
Other,6.4,6.4,69.0,7.5,None,Clubs,No,41.9
Male,9.4,5.4,83.7,7.1,High School,Arts,No,60.6
Female,8.5,0.0,32.3,7.0,High School,Arts,No,54.8
Male,5.4,3.7,88.9,6.0,High School,Multiple,No,44.5
Male,10.4,4.6,16.1,4.4,Bachelor,Clubs,No,46.7
Female,6.7,2.4,17.3,4.5,High School,Sports,No,37.3
Other,6.5,2.5,26.7,6.6,Bachelor,Clubs,No,35.4
Male,0.4,7.7,12.0,6.1,High School,None,No,10.0
Female,11.8,7.1,23.0,7.1,High School,Clubs,No,48.0
Male,1.5,6.8,10.6,5.8,High School,Clubs,Yes,10.0
Male,2.8,3.2,82.2,8.1,Master,None,Yes,39.7
Male,0.6,0.1,13.9,9.2,Bachelor,Clubs,No,10.0
Male,7.7,0.6,74.7,5.8,Master,Arts,No,59.7
Other,2.7,2.5,4.8,5.2,High School,Arts,No,12.5
Male,2.2,0.1,94.9,4.7,Master,Sports,No,35.0
Male,1.1,0.1,71.1,7.7,None,Sports,No,26.1
Male,1.2,7.3,0.7,6.7,High School,Clubs,Yes,10.0
Other,7.0,5.6,76.4,5.1,Bachelor,Sports,No,45.4
Male,8.3,2.5,51.4,7.9,High School,Sports,Yes,52.0
Male,4.8,1.1,77.9,4.9,PhD,Clubs,No,53.8
Other,5.8,4.1,52.2,7.3,None,None,No,41.8
Other,8.2,0.0,64.1,7.2,PhD,Arts,No,79.2
Other,0.2,7.5,78.6,8.4,Bachelor,Arts,Yes,20.0
Male,3.9,3.3,40.5,4.3,Bachelor,Clubs,Yes,24.6
Other,11.7,3.2,0.3,9.3,High School,Sports,No,46.0
Other,7.0,3.1,85.0,8.2,High School,Sports,No,58.1
Male,3.1,0.6,38.1,5.3,Master,Sports,Yes,25.9
Other,6.3,5.1,49.6,5.1,High School,Clubs,No,33.7
Male,4.1,5.9,0.8,6.6,Bachelor,None,Yes,10.0
Female,6.4,5.4,49.2,8.9,PhD,Multiple,No,49.5
Other,1.5,1.1,98.6,9.1,High School,Arts,Yes,29.8
Female,1.6,4.6,27.8,7.1,Bachelor,Multiple,No,19.7
Male,1.7,4.6,39.5,9.2,Bachelor,Sports,No,10.0
Other,11.3,6.9,68.7,4.0,High School,Sports,Yes,50.6
Male,8.8,3.0,81.5,4.2,High School,Multiple,No,59.7
Female,1.9,3.0,41.7,9.5,Bachelor,None,No,18.8
Male,2.3,4.9,31.0,8.7,High School,None,No,12.5
Other,8.8,5.1,93.8,6.7,Bachelor,Sports,Yes,68.1
Other,1.9,3.8,67.7,8.5,High School,Multiple,No,36.7
Female,2.8,3.5,11.9,9.7,PhD,Arts,Yes,10.0
Male,11.6,4.0,6.9,8.6,None,Arts,No,47.6
Other,3.1,6.9,48.4,9.1,Bachelor,Clubs,No,16.9
Female,7.9,3.7,22.0,8.6,Bachelor,Sports,No,47.4
Other,11.7,7.5,25.4,5.0,High School,Clubs,No,55.0
Other,4.5,4.0,87.8,9.0,High School,Sports,No,47.1
Male,0.2,7.6,9.0,5.2,Master,Clubs,No,10.0
Other,2.9,6.7,71.5,9.4,Master,Sports,Yes,16.5
Male,10.0,2.9,27.1,6.8,High School,Sports,Yes,40.9
Other,10.4,6.9,76.0,8.1,Bachelor,Arts,No,64.3
Female,9.2,0.9,72.2,7.0,High School,Sports,No,80.5
Other,1.4,7.4,0.7,4.6,High School,Arts,Yes,10.0
Male,9.5,5.1,50.9,5.7,Bachelor,Sports,No,45.4
Male,11.0,0.4,13.9,9.9,Master,Sports,No,60.0
Female,7.2,5.2,86.6,9.8,High School,Arts,No,37.5
Other,11.3,7.8,87.2,5.9,PhD,Arts,Yes,63.7
Other,9.9,0.6,41.8,10.0,High School,None,No,59.0
Female,8.0,4.4,44.4,9.1,Bachelor,Arts,Yes,34.9
Other,6.9,6.0,30.3,7.7,Bachelor,Sports,Yes,41.8
Other,4.2,6.5,71.7,4.2,Bachelor,Sports,No,32.4
Male,1.9,3.3,35.9,9.4,Bachelor,Sports,No,21.4
Other,7.3,1.6,26.8,7.3,High School,Multiple,No,40.1
Other,3.8,0.3,43.2,9.2,Bachelor,Clubs,Yes,28.5
Female,10.4,4.6,9.1,9.0,Bachelor,Sports,No,55.5
Female,11.9,3.6,74.7,9.0,High School,Arts,Yes,66.2
Male,9.0,7.6,1.3,8.2,Master,Clubs,No,41.8
Other,1.1,0.5,64.4,5.7,High School,Sports,No,22.9
Other,3.5,5.5,18.3,6.0,Bachelor,Clubs,No,21.8
Other,1.3,0.2,23.2,5.9,High School,None,No,12.6
Male,7.8,1.4,63.6,4.1,High School,Clubs,No,58.3
Male,9.2,3.6,99.3,7.5,High School,Arts,No,64.4
Female,11.1,3.6,77.8,8.2,Bachelor,Sports,No,78.5
Male,5.3,5.5,22.6,9.1,Bachelor,Sports,Yes,10.5
Other,10.8,7.3,17.6,4.8,High School,Multiple,No,41.5
Other,10.5,5.1,86.6,7.3,High School,Clubs,No,72.2
Male,3.8,7.6,44.4,4.0,High School,Arts,Yes,10.0
Other,10.4,7.1,13.7,4.6,Bachelor,None,No,32.9
Other,4.5,4.7,86.2,4.3,Bachelor,Sports,Yes,34.1
Male,3.6,6.7,81.6,8.4,High School,Sports,No,34.5
Male,7.8,5.1,98.4,4.5,None,None,No,51.8
Other,3.9,0.6,91.0,8.3,Master,Arts,No,66.1
Other,7.6,5.9,85.2,5.5,High School,Multiple,Yes,49.7
Other,7.3,0.8,5.3,9.3,High School,Clubs,Yes,27.3
Female,6.8,4.8,10.4,8.9,None,Sports,Yes,30.6
Female,4.6,5.6,56.9,9.7,Bachelor,Arts,Yes,29.9
Female,6.6,0.5,53.1,9.3,Bachelor,Multiple,No,45.8
Male,7.2,1.8,45.8,9.6,Bachelor,Clubs,No,48.2
Female,6.5,7.3,39.7,9.2,High School,Clubs,No,18.8
Male,5.3,4.9,43.1,8.2,Bachelor,Multiple,No,34.0
Male,0.2,2.0,56.9,5.0,High School,Clubs,No,10.0
Female,7.0,5.5,0.2,5.6,Master,None,No,22.8
Female,2.0,4.8,26.1,5.3,Bachelor,Sports,Yes,10.0
Female,7.7,4.0,51.8,7.6,Bachelor,Multiple,No,51.9
Other,9.1,7.8,72.2,7.0,High School,Arts,No,57.6
Female,6.0,5.5,17.4,9.2,High School,None,No,20.2
Other,6.5,3.0,54.7,9.7,Bachelor,Arts,No,45.6
Male,11.4,6.4,71.4,6.4,Bachelor,Clubs,No,74.3
Other,10.2,7.1,44.5,7.0,High School,Multiple,Yes,60.7
Female,11.0,1.0,2.7,9.8,PhD,Sports,No,54.9
Male,9.8,1.6,44.9,5.7,PhD,Arts,Yes,59.7
Male,1.3,1.7,29.6,8.8,Bachelor,Multiple,No,21.7
Male,1.8,5.5,93.0,5.4,PhD,Sports,No,35.5
Other,6.3,4.8,12.5,8.1,High School,None,No,32.7
Female,3.0,5.0,65.2,5.5,None,Multiple,No,19.3
Male,5.7,7.5,5.3,9.3,None,Arts,No,10.0
Male,4.7,6.2,44.6,7.4,Bachelor,Arts,No,37.8
Male,6.6,1.0,55.4,5.1,High School,Arts,Yes,38.0
Other,9.0,2.8,29.8,5.3,PhD,None,No,48.2
Other,8.6,3.5,45.5,7.0,High School,Multiple,Yes,54.6
Female,6.3,3.2,16.4,9.8,High School,Sports,Yes,23.5
Other,9.9,5.4,30.4,8.6,Master,Sports,Yes,59.9
Male,5.2,7.1,62.1,6.9,High School,None,No,35.2
Female,10.8,2.4,30.2,6.0,High School,Sports,Yes,51.1
Male,0.9,4.4,90.0,7.3,Bachelor,Clubs,No,28.9
Male,11.5,6.3,62.8,8.5,High School,Clubs,No,67.8
Other,7.9,3.3,43.9,8.7,High School,Multiple,No,50.8
Female,4.6,1.3,3.9,5.9,High School,Sports,Yes,10.0
Other,2.4,3.8,50.0,8.3,Bachelor,Clubs,No,23.6
Other,5.8,0.4,76.5,7.9,PhD,Arts,No,63.8
Female,2.3,7.5,26.6,9.8,Master,Clubs,No,12.2
Male,2.0,0.6,80.7,9.6,High School,Clubs,No,36.5
Male,7.4,3.5,25.2,8.7,High School,Sports,No,51.1
Female,6.3,4.2,82.4,8.3,Bachelor,Sports,Yes,48.9
Male,8.0,7.9,8.5,5.6,PhD,Sports,No,24.5
Female,11.2,1.3,86.6,9.1,High School,Arts,Yes,71.0
Female,6.4,0.9,49.9,6.6,High School,Multiple,No,40.5
Other,7.0,0.1,29.7,5.6,Bachelor,Sports,No,43.2
Female,1.1,1.2,26.5,6.3,PhD,None,No,20.3
Other,8.6,1.7,43.2,9.0,High School,None,Yes,56.0
Male,4.8,5.0,99.9,4.9,High School,Clubs,No,45.5
Male,11.7,1.8,22.0,6.7,High School,Sports,No,62.2
Male,9.9,0.2,10.3,7.0,None,Sports,Yes,50.7
Male,6.3,6.6,58.5,4.2,Bachelor,Sports,No,35.7
Other,1.5,2.9,48.9,5.2,Bachelor,Arts,No,13.6
Male,10.3,2.8,52.4,9.0,Bachelor,Arts,No,65.5
Female,9.6,2.4,66.7,9.0,High School,Clubs,Yes,64.1
Female,2.2,7.8,26.7,5.8,High School,Sports,Yes,10.0
Female,3.5,1.4,91.1,9.2,High School,Arts,Yes,36.7
Other,9.5,7.2,43.6,8.6,High School,None,Yes,41.0
Male,2.2,6.2,12.9,6.5,Master,None,No,10.0
Male,11.0,0.6,74.2,8.5,High School,Arts,No,77.0
Male,5.1,7.9,64.3,9.8,None,Sports,No,26.3
Other,1.0,2.2,31.6,6.8,High School,Arts,No,10.0
Female,9.8,0.8,62.2,5.4,Bachelor,None,Yes,57.5
Female,4.5,6.6,22.0,9.7,Bachelor,None,No,24.7
Male,6.3,5.7,44.5,7.6,Master,Multiple,No,42.1
Female,1.3,4.9,89.9,4.6,High School,Arts,No,23.4
Female,0.0,1.2,13.4,7.4,Bachelor,Clubs,Yes,19.1
Other,7.7,3.8,38.7,7.0,High School,Clubs,No,48.1
Other,6.2,6.2,82.1,9.1,High School,Arts,No,40.7
Other,7.1,2.4,96.9,7.2,PhD,Clubs,No,66.2
Other,9.5,2.5,45.4,5.5,High School,Arts,Yes,49.5
Male,7.8,0.0,50.7,8.1,Bachelor,Sports,Yes,57.7
Other,2.1,1.4,57.2,7.3,High School,Sports,No,36.8
Female,4.3,7.0,93.2,5.4,Bachelor,Arts,No,41.3
Male,10.9,3.5,85.8,7.4,Master,Sports,Yes,77.1
Female,9.2,7.9,17.1,8.9,Master,Sports,No,45.0
Female,6.7,3.2,43.7,4.2,Master,Sports,No,32.7
Female,3.1,5.7,46.4,7.8,Bachelor,None,No,14.2
Other,3.6,2.3,78.9,6.1,High School,None,No,44.4
Other,8.8,2.9,60.3,5.8,Bachelor,None,No,40.3
Male,10.2,1.5,65.4,6.4,Bachelor,None,No,69.9
Male,8.1,2.8,99.8,6.1,None,Sports,No,62.9
Other,9.7,4.4,7.5,9.0,Bachelor,Arts,Yes,49.9
Female,9.2,7.9,22.3,5.6,Master,None,Yes,31.9
Male,1.8,5.3,40.8,8.4,Bachelor,Multiple,No,29.2
Other,5.1,1.6,34.8,4.6,High School,Clubs,No,29.5
Other,1.8,0.4,2.2,9.7,Master,Arts,No,18.5
Other,2.8,1.0,9.2,7.7,High School,Clubs,No,14.3
Female,10.4,4.5,68.1,8.2,High School,Sports,Yes,51.9
Other,5.7,6.1,87.9,5.8,Bachelor,None,No,40.0
Other,6.4,7.5,51.4,6.5,High School,Multiple,No,27.3
Other,2.1,0.1,53.9,5.3,Bachelor,None,No,26.6
Other,3.7,4.2,25.5,9.6,High School,Multiple,Yes,11.6
Male,2.8,3.8,76.8,6.9,High School,Arts,No,34.9
Male,2.5,5.2,75.2,7.8,High School,Sports,No,25.1
Other,7.7,4.5,58.8,8.4,PhD,Arts,No,59.0
Female,3.1,5.5,21.3,6.2,Bachelor,Arts,No,20.6
Male,7.6,5.3,9.7,8.3,High School,None,No,31.0
Other,0.7,0.9,6.4,8.1,None,Sports,No,12.5
Male,1.7,6.4,59.3,8.2,High School,Clubs,No,14.6
Male,3.3,1.0,82.5,6.9,Bachelor,Arts,No,42.5
Female,7.2,5.6,85.8,6.3,High School,Sports,No,45.2
Other,8.1,3.3,46.4,5.3,Bachelor,Sports,No,57.8
Other,5.3,4.1,78.4,8.9,Bachelor,Multiple,Yes,53.5
Female,5.3,7.2,94.7,7.7,Master,Arts,Yes,55.1
Female,8.7,7.1,27.5,6.7,Bachelor,Arts,No,45.9
Other,0.2,6.5,39.8,9.7,Bachelor,Multiple,No,10.0
Other,4.1,4.1,93.1,4.3,High School,Sports,No,30.3
Female,9.8,5.9,33.8,9.1,Bachelor,Arts,Yes,39.1
Male,7.2,4.1,91.4,10.0,Bachelor,Clubs,Yes,52.7
Male,4.0,7.0,98.1,9.3,High School,Clubs,Yes,27.7
Female,10.9,3.2,66.2,8.9,Master,Sports,No,64.6
Male,9.3,7.8,81.7,6.2,High School,None,No,56.5
Female,3.2,7.5,75.0,5.4,High School,Clubs,No,13.5
Male,7.7,5.9,70.0,8.4,High School,Sports,Yes,45.7
Male,7.1,2.2,30.7,5.8,Master,Multiple,No,50.9
Other,4.8,1.1,5.7,5.1,Bachelor,None,No,22.6
Other,4.4,6.8,34.3,8.7,Master,Sports,Yes,30.9
Male,4.1,1.3,66.7,5.9,High School,None,No,35.9
Male,7.4,6.8,10.3,9.5,Bachelor,Clubs,Yes,15.9
Other,5.3,3.9,1.2,9.0,High School,Multiple,No,28.9
Other,10.0,3.3,14.0,9.1,Master,Arts,No,46.5
Other,8.0,7.2,71.6,8.6,None,Multiple,No,42.2
Female,0.8,4.8,97.3,9.3,High School,None,Yes,10.6
Male,7.7,4.6,98.3,8.8,High School,None,No,62.5
Other,3.3,4.5,49.4,7.6,Master,Clubs,No,43.9
Male,7.1,3.0,86.9,5.8,Bachelor,Multiple,Yes,46.5
Female,8.2,6.3,73.7,9.3,Bachelor,Clubs,No,43.9
Female,2.8,2.0,50.1,9.0,Bachelor,Clubs,No,36.7
Other,5.5,7.5,57.3,6.8,PhD,Sports,No,30.9
Female,2.3,7.2,13.7,4.2,Master,Sports,No,16.3
Male,0.6,2.7,93.8,7.8,Bachelor,Multiple,No,32.1
Other,4.5,5.8,35.2,4.3,High School,Sports,No,16.2
Male,4.4,4.6,44.6,9.6,High School,Sports,No,19.1
Male,11.9,2.7,67.2,9.8,Master,Clubs,Yes,74.3
Female,5.4,7.9,33.4,5.1,Bachelor,Sports,Yes,28.3
Female,4.0,0.2,25.4,8.1,High School,Clubs,Yes,27.8
Female,7.0,2.0,63.1,4.6,Bachelor,None,No,52.4
Female,1.1,4.2,2.5,8.4,Master,Clubs,No,10.0
Female,11.5,4.2,72.1,6.1,High School,Arts,No,74.5
Other,7.6,4.7,51.4,8.1,Bachelor,Arts,No,58.6
Male,9.1,6.0,60.6,6.2,Master,Arts,No,62.6
Male,2.0,5.0,63.2,4.9,Bachelor,Sports,No,20.1
Male,4.9,4.8,52.7,6.4,High School,Arts,Yes,23.7
Male,5.1,0.4,58.3,4.7,PhD,Arts,No,45.6
Female,9.9,3.0,68.4,7.5,PhD,Arts,No,71.9
Male,0.0,1.9,75.3,4.2,Master,Sports,No,21.1
Other,3.6,2.1,72.7,7.2,Bachelor,None,Yes,40.9
Other,11.8,4.4,87.0,9.3,High School,None,No,68.3
Male,5.7,1.6,18.9,9.0,Master,Clubs,No,44.2
Male,4.6,2.4,40.1,9.3,High School,None,No,29.6
Other,1.4,1.9,94.8,9.5,Master,Multiple,No,36.6
Other,11.7,7.6,39.7,4.6,Master,Clubs,No,55.4
Female,0.2,7.6,12.5,4.8,Bachelor,Clubs,Yes,10.0
Other,8.8,4.9,52.5,7.3,Master,Clubs,Yes,52.3
Female,9.2,7.4,10.9,9.4,Master,None,No,32.9
Female,2.9,6.3,20.3,9.8,High School,Clubs,Yes,10.0
Female,8.1,4.7,99.8,4.3,Bachelor,Arts,No,61.4
Female,1.1,0.1,54.1,6.1,High School,Multiple,No,29.1
Female,3.1,6.2,28.4,5.3,Bachelor,Multiple,No,15.6
Male,9.5,5.6,99.5,8.5,High School,None,Yes,58.9
Other,10.4,4.9,96.7,7.8,Bachelor,Sports,No,79.9
Female,7.3,6.1,44.1,4.7,Master,Arts,No,38.6
Other,6.1,4.1,26.0,6.9,PhD,Clubs,No,43.4
Other,1.9,5.6,83.8,8.1,High School,Sports,No,27.8
Female,0.8,7.5,71.6,8.7,Bachelor,Sports,No,23.5
Male,1.4,3.0,68.7,4.1,Bachelor,Sports,Yes,22.0
Female,2.7,5.7,89.3,9.3,PhD,Arts,No,41.0
Male,4.1,3.8,68.9,7.4,Bachelor,Multiple,Yes,38.7
Other,4.6,5.4,28.4,8.9,Bachelor,Clubs,No,25.6
Male,4.2,6.1,69.4,8.8,Master,Sports,No,36.7
Male,2.9,0.4,30.6,5.1,High School,None,No,14.4
Male,6.1,5.2,75.9,4.7,Master,None,No,39.7
Other,9.9,1.8,62.0,8.3,Master,Arts,No,60.4
Other,3.4,5.4,7.7,4.9,PhD,Clubs,No,19.6
Male,11.3,3.7,51.3,9.1,High School,Sports,No,67.9
Male,10.5,6.2,34.3,8.4,Bachelor,Arts,Yes,50.2
Female,1.9,1.0,32.9,9.1,Master,Multiple,Yes,22.3
Male,9.4,5.0,60.2,5.8,High School,Multiple,Yes,48.3
Female,6.9,2.2,32.2,5.9,Bachelor,Sports,Yes,29.8
Male,6.8,6.8,77.7,8.0,High School,None,No,50.7
Female,4.7,7.4,7.1,4.2,High School,Sports,No,14.0
Other,6.0,8.0,66.0,8.4,Bachelor,Clubs,Yes,32.0
Male,4.8,6.4,80.9,9.0,Bachelor,Multiple,Yes,41.9
Male,6.5,6.0,67.3,6.5,High School,None,No,38.5
Male,7.5,1.7,49.7,8.6,Bachelor,None,No,59.9
Male,8.1,2.7,95.0,5.0,Bachelor,Multiple,No,62.1
Female,6.4,3.7,30.0,5.9,Bachelor,Clubs,No,32.9
Male,8.7,6.2,1.9,9.8,Bachelor,Multiple,No,38.7
Other,1.7,7.3,43.2,9.9,Bachelor,Sports,No,10.0
Other,2.5,1.5,3.3,7.1,Bachelor,Sports,No,21.2
Male,9.8,7.4,95.4,9.6,High School,None,Yes,52.5
Other,3.9,5.6,21.0,7.1,Bachelor,None,No,18.0
Male,0.3,4.9,78.9,5.7,Bachelor,Arts,Yes,23.4
Male,1.8,1.6,77.5,5.6,Bachelor,Sports,No,32.0
Other,2.7,0.4,21.8,9.6,High School,None,No,20.3
Male,11.5,4.5,62.1,5.0,Bachelor,Multiple,No,68.1
Other,6.9,5.2,4.8,7.5,High School,None,Yes,23.5
Female,11.2,1.7,48.4,7.3,Master,Clubs,No,81.3
Male,6.9,4.5,1.5,8.4,None,Sports,No,33.3
Female,5.8,6.9,92.1,7.0,PhD,Clubs,Yes,50.4
Other,3.8,6.7,97.6,5.6,Bachelor,None,No,37.8
Female,7.3,7.4,22.2,5.0,Bachelor,Clubs,Yes,29.9
Female,1.7,2.9,20.8,7.7,High School,None,No,19.1
Other,10.8,2.5,75.4,8.3,None,Sports,No,68.5
Female,10.0,6.0,25.3,7.4,High School,Clubs,No,48.0
Female,3.8,3.4,89.5,8.4,High School,None,No,46.4
Other,11.4,0.7,57.4,4.8,Bachelor,Sports,No,71.2
Female,9.9,2.3,35.1,9.3,High School,Multiple,No,48.4
Other,8.0,3.3,83.3,7.5,Master,Multiple,No,66.7
Female,1.5,2.3,49.3,4.8,High School,None,No,17.8
Other,5.7,2.7,91.2,6.8,Master,None,No,48.4
Other,6.1,2.4,92.8,9.1,Bachelor,None,No,51.6
Female,2.8,0.3,16.5,9.4,High School,None,No,20.0
Female,1.0,5.1,0.2,5.6,Bachelor,Multiple,No,10.0
Female,9.3,4.8,98.4,8.3,High School,Arts,No,65.1
Male,1.5,5.2,90.6,4.6,High School,Arts,Yes,15.7
Male,7.1,1.5,5.5,4.2,Bachelor,Multiple,No,41.2
Male,11.2,2.4,83.3,7.4,Bachelor,Arts,No,75.4
Other,10.5,5.0,45.8,8.2,Master,Clubs,No,69.3
Female,3.3,4.8,25.9,8.8,Bachelor,Sports,No,20.5
Other,10.2,4.1,87.9,6.0,PhD,Sports,Yes,77.9
Male,0.0,2.8,19.7,4.0,PhD,Arts,No,10.0
Female,0.2,7.3,94.7,6.9,Master,None,No,20.9
Other,7.2,2.7,20.6,4.1,Bachelor,Sports,No,26.8
Female,4.4,3.6,61.4,4.6,High School,None,No,31.9
Other,4.6,5.4,22.3,6.0,High School,None,Yes,17.5
Female,6.8,4.3,54.6,6.6,Bachelor,Arts,No,47.6
Male,2.3,2.8,68.4,5.7,Bachelor,Arts,No,29.4
Male,2.5,3.5,19.0,7.5,High School,Sports,No,10.8
Female,5.8,6.4,52.1,4.3,Bachelor,Sports,Yes,30.1
Other,9.1,2.2,46.9,4.9,None,Clubs,No,52.9
Male,7.4,1.1,7.1,8.2,Bachelor,None,Yes,42.7
Male,3.6,2.5,81.8,4.9,High School,Arts,No,28.6
Male,5.2,6.8,33.6,7.8,Bachelor,Clubs,No,34.8
Female,2.0,0.7,57.5,4.3,Master,None,Yes,28.3
Female,0.9,7.9,51.5,6.4,High School,Clubs,Yes,10.0
Other,9.4,4.3,51.3,5.1,Bachelor,Clubs,No,46.8
Other,3.2,7.9,10.7,4.7,Master,None,No,10.0
Other,2.1,7.5,42.3,7.4,High School,None,Yes,10.0
Female,8.3,3.6,45.2,9.6,High School,Multiple,No,40.8
Female,7.4,1.6,73.4,4.3,High School,None,No,57.7
Other,7.6,1.3,84.0,6.5,Bachelor,Clubs,Yes,65.1
Other,2.7,1.9,54.5,8.2,Bachelor,Arts,No,36.3
Female,2.8,5.7,8.7,6.8,High School,Sports,No,13.5
Other,2.6,2.2,23.7,8.8,Bachelor,None,Yes,25.5
Male,2.1,2.7,16.5,5.1,High School,Arts,No,11.8
Female,7.9,3.6,12.5,9.8,Master,Sports,No,36.2
Other,10.2,7.3,36.6,6.3,High School,Clubs,Yes,39.0
Female,8.7,1.5,22.9,6.0,Master,Multiple,Yes,48.3
Male,9.5,0.0,21.8,9.2,Bachelor,Clubs,Yes,55.8
Female,4.9,0.5,5.5,7.4,Bachelor,Sports,No,27.7
